username,password,firstname,lastname,email
sv100041,StudentPassword123@,Hương,Phan,sv100041@vnu.edu.vn
sv100042,StudentPassword123@,Sơn,Vũ,sv100042@vnu.edu.vn
sv100043,StudentPassword123@,Thảo,Bùi,sv100043@vnu.edu.vn
sv100044,StudentPassword123@,Vinh,Nguyễn,sv100044@vnu.edu.vn
sv100045,StudentPassword123@,Bình,Nguyễn,sv100045@vnu.edu.vn
sv100046,StudentPassword123@,Xuân,Phạm,sv100046@vnu.edu.vn
sv100047,StudentPassword123@,Phong,Lê,sv100047@vnu.edu.vn
sv100048,StudentPassword123@,Hương,Hoàng,sv100048@vnu.edu.vn
sv100049,StudentPassword123@,Cường,Đặng,sv100049@vnu.edu.vn
sv100050,StudentPassword123@,An,Phạm,sv100050@vnu.edu.vn
sv100051,StudentPassword123@,An,Trần,sv100051@vnu.edu.vn
sv100052,StudentPassword123@,Trang,Phan,sv100052@vnu.edu.vn
sv100053,StudentPassword123@,Khánh,Vũ,sv100053@vnu.edu.vn
sv100054,StudentPassword123@,Phong,Bùi,sv100054@vnu.edu.vn
sv100055,StudentPassword123@,Bình,Đặng,sv100055@vnu.edu.vn
sv100056,StudentPassword123@,Hùng,Lê,sv100056@vnu.edu.vn
sv100057,StudentPassword123@,Hải,Phan,sv100057@vnu.edu.vn
sv100058,StudentPassword123@,Minh,Nguyễn,sv100058@vnu.edu.vn
sv100059,StudentPassword123@,Trang,Lê,sv100059@vnu.edu.vn
sv100060,StudentPassword123@,Bình,Võ,sv100060@vnu.edu.vn
sv100061,StudentPassword123@,Nam,Hoàng,sv100061@vnu.edu.vn
sv100062,StudentPassword123@,Cường,Đặng,sv100062@vnu.edu.vn
sv100063,StudentPassword123@,Sơn,Bùi,sv100063@vnu.edu.vn
sv100064,StudentPassword123@,Nam,Nguyễn,sv100064@vnu.edu.vn
sv100065,StudentPassword123@,Thảo,Đặng,sv100065@vnu.edu.vn
sv100066,StudentPassword123@,Phong,Nguyễn,sv100066@vnu.edu.vn
sv100067,StudentPassword123@,Tuấn,Phan,sv100067@vnu.edu.vn
sv100068,StudentPassword123@,Xuân,Đặng,sv100068@vnu.edu.vn
sv100069,StudentPassword123@,Hải,Trần,sv100069@vnu.edu.vn
sv100070,StudentPassword123@,Hải,Lê,sv100070@vnu.edu.vn
sv100071,StudentPassword123@,Xuân,Phạm,sv100071@vnu.edu.vn
sv100072,StudentPassword123@,Dũng,Trần,sv100072@vnu.edu.vn
sv100073,StudentPassword123@,Hương,Trần,sv100073@vnu.edu.vn
sv100074,StudentPassword123@,Trang,Nguyễn,sv100074@vnu.edu.vn
sv100075,StudentPassword123@,An,Nguyễn,sv100075@vnu.edu.vn
sv100076,StudentPassword123@,Thảo,Phạm,sv100076@vnu.edu.vn
sv100077,StudentPassword123@,Đạt,Hoàng,sv100077@vnu.edu.vn
sv100078,StudentPassword123@,Hải,Hoàng,sv100078@vnu.edu.vn
sv100079,StudentPassword123@,Hùng,Trần,sv100079@vnu.edu.vn
sv100080,StudentPassword123@,Sơn,Bùi,sv100080@vnu.edu.vn
sv100081,StudentPassword123@,Cường,Nguyễn,sv100081@vnu.edu.vn
sv100082,StudentPassword123@,Nam,Đặng,sv100082@vnu.edu.vn
sv100083,StudentPassword123@,Xuân,Trần,sv100083@vnu.edu.vn
sv100084,StudentPassword123@,Xuân,Hoàng,sv100084@vnu.edu.vn
sv100085,StudentPassword123@,Sơn,Võ,sv100085@vnu.edu.vn
sv100086,StudentPassword123@,Khánh,Hoàng,sv100086@vnu.edu.vn
sv100087,StudentPassword123@,Dũng,Đặng,sv100087@vnu.edu.vn
sv100088,StudentPassword123@,Hải,Phạm,sv100088@vnu.edu.vn
sv100089,StudentPassword123@,Bình,Nguyễn,sv100089@vnu.edu.vn
sv100090,StudentPassword123@,Vinh,Nguyễn,sv100090@vnu.edu.vn
sv100091,StudentPassword123@,Cường,Đặng,sv100091@vnu.edu.vn
sv100092,StudentPassword123@,Tuấn,Đặng,sv100092@vnu.edu.vn
sv100093,StudentPassword123@,Vinh,Phạm,sv100093@vnu.edu.vn
sv100094,StudentPassword123@,Dũng,Đặng,sv100094@vnu.edu.vn
sv100095,StudentPassword123@,Trang,Hoàng,sv100095@vnu.edu.vn
sv100096,StudentPassword123@,Hải,Phan,sv100096@vnu.edu.vn
sv100097,StudentPassword123@,Hải,Trần,sv100097@vnu.edu.vn
sv100098,StudentPassword123@,Hải,Nguyễn,sv100098@vnu.edu.vn
sv100099,StudentPassword123@,Cường,Lê,sv100099@vnu.edu.vn
sv100100,StudentPassword123@,Thảo,Đặng,sv100100@vnu.edu.vn
